epoch:0, lr:2.4968057921635433e-05, train_loss:1.015291, test_loss:0.975971

epoch:247, lr:0.00017336887148671718, train_loss:0.606563, test_loss:0.649998

epoch:248, lr:0.00017140667414674543, train_loss:0.606772, test_loss:0.649864

epoch:249, lr:0.00016944983483825626, train_loss:0.606434, test_loss:0.650141

epoch:250, lr:0.00016749848696706384, train_loss:0.606034, test_loss:0.649697

epoch:251, lr:0.00016555276356460826, train_loss:0.606068, test_loss:0.649378

epoch:252, lr:0.00016361279727888657, train_loss:0.605964, test_loss:0.649433

epoch:253, lr:0.00016167872036540923, train_loss:0.605502, test_loss:0.649516

epoch:254, lr:0.00015975066467818395, train_loss:0.605979, test_loss:0.649506

epoch:255, lr:0.0001578287616607265, train_loss:0.605731, test_loss:0.649497

epoch:256, lr:0.0001559131423371, train_loss:0.605596, test_loss:0.649346

epoch:257, lr:0.0001540039373029819, train_loss:0.605451, test_loss:0.648836

epoch:258, lr:0.00015210127671676124, train_loss:0.605524, test_loss:0.648722

epoch:259, lr:0.00015020529029066503, train_loss:0.605301, test_loss:0.648073

epoch:260, lr:0.0001483161072819152, train_loss:0.605196, test_loss:0.649020

epoch:261, lr:0.00014643385648391665, train_loss:0.604991, test_loss:0.648767

epoch:262, lr:0.00014455866621747665, train_loss:0.604888, test_loss:0.648224

epoch:263, lr:0.00014269066432205725, train_loss:0.604466, test_loss:0.647741

epoch:264, lr:0.00014082997814705936, train_loss:0.604573, test_loss:0.648150

epoch:265, lr:0.000138976734543141, train_loss:0.604469, test_loss:0.647983

epoch:266, lr:0.00013713105985356955, train_loss:0.604332, test_loss:0.647648

epoch:267, lr:0.00013529307990560804, train_loss:0.603889, test_loss:0.647348

epoch:268, lr:0.0001334629200019374, train_loss:0.604188, test_loss:0.647705

epoch:269, lr:0.00013164070491211355, train_loss:0.603954, test_loss:0.647327

epoch:270, lr:0.00012982655886406217, train_loss:0.604018, test_loss:0.647053

epoch:271, lr:0.00012802060553560862, train_loss:0.603883, test_loss:0.647286

epoch:272, lr:0.00012622296804604697, train_loss:0.603783, test_loss:0.647127

epoch:273, lr:0.00012443376894774583, train_loss:0.603477, test_loss:0.646992

epoch:274, lr:0.00012265313021779439, train_loss:0.603114, test_loss:0.646893

epoch:275, lr:0.00012088117324968592, train_loss:0.602694, test_loss:0.646863

epoch:276, lr:0.00011911801884504208, train_loss:0.602879, test_loss:0.646619

epoch:277, lr:0.00011736378720537747, train_loss:0.603181, test_loss:0.646227

epoch:278, lr:0.00011561859792390528, train_loss:0.602906, test_loss:0.647094

epoch:279, lr:0.00011388256997738325, train_loss:0.602745, test_loss:0.646440

epoch:280, lr:0.0001121558217180034, train_loss:0.602711, test_loss:0.646046

epoch:281, lr:0.00011043847086532335, train_loss:0.602461, test_loss:0.646474

epoch:282, lr:0.00010873063449824042, train_loss:0.601979, test_loss:0.646352

epoch:283, lr:0.00010703242904701027, train_loss:0.602227, test_loss:0.646032

epoch:284, lr:0.00010534397028530926, train_loss:0.602053, test_loss:0.646100

epoch:285, lr:0.00010366537332234171, train_loss:0.601906, test_loss:0.645695

epoch:286, lr:0.00010199675259499232, train_loss:0.602035, test_loss:0.645090

epoch:287, lr:0.00010033822186002478, train_loss:0.601687, test_loss:0.645621

epoch:288, lr:9.868989418632613e-05, train_loss:0.601882, test_loss:0.645556

epoch:289, lr:9.705188194719886e-05, train_loss:0.601738, test_loss:0.645160

epoch:290, lr:9.542429681269951e-05, train_loss:0.601479, test_loss:0.645283

epoch:291, lr:9.380724974202595e-05, train_loss:0.601292, test_loss:0.644411

epoch:292, lr:9.220085097595263e-05, train_loss:0.601306, test_loss:0.644588

